delay,wire_model,power,mode,metal_layers,utilization,top_level_mod,area,period
1.71,WireAreaLowkAgr,0.0460939,mode0,8,0.90,dsp,48331.764,1.66
2.49,WireAreaLowkAgr,0.0295837,mode0,6,0.95,dsp,38565.072,2.5
1.98,WireAreaLowkAgr,0.037355,mode1,6,0.95,dsp,40583.547,2.0
1.98,WireAreaLowkAgr,0.036455,mode0,6,0.85,dsp,45358.020,2.0
1.64,WireAreaLowkAgr,0.0458925,mode2,5,0.90,dsp,48331.764,1.66
1.55,WireAreaLowkAgr,0.0517896,mode1,6,0.90,dsp,54244.242,1.53
2.45,WireAreaLowkAgr,0.0298967,mode1,6,0.85,dsp,43101.540,2.5
1.56,WireAreaLowkAgr,0.0511442,mode3,6,0.95,dsp,51389.991,1.53
2.19,WireAreaLowkAgr,0.0321895,mode0,8,0.90,dsp,41936.661,2.22
1.51,WireAreaLowkAgr,0.0510716,mode2,5,0.85,dsp,57436.848,1.53
2.2,WireAreaLowkAgr,0.0328243,none,5,0.90,dsp,41936.661,2.22
2.46,WireAreaLowkAgr,0.0303981,mode1,8,0.95,dsp,38565.072,2.5
1.99,WireAreaLowkAgr,0.0363567,mode0,7,0.95,dsp,40583.547,2.0
1.97,WireAreaLowkAgr,0.0369377,mode3,5,0.95,dsp,40583.547,2.0
2.48,WireAreaLowkAgr,0.0303957,mode1,7,0.95,dsp,38565.072,2.5
1.65,WireAreaLowkAgr,0.0467966,mode3,8,0.90,dsp,48331.764,1.66
2.4,WireAreaLowkAgr,0.0297153,mode2,5,0.95,dsp,38565.072,2.5
1.99,WireAreaLowkAgr,0.036357,mode0,8,0.95,dsp,40583.547,2.0
2.47,WireAreaLowkAgr,0.0291263,mode0,7,0.85,dsp,43101.540,2.5
2.41,WireAreaLowkAgr,0.0295738,mode3,5,0.85,dsp,43101.540,2.5
1.96,WireAreaLowkAgr,0.0375062,mode1,8,0.85,dsp,45358.020,2.0
2.49,WireAreaLowkAgr,0.0290775,mode0,8,0.85,dsp,43101.540,2.5
1.93,WireAreaLowkAgr,0.0375269,mode1,7,0.85,dsp,45358.020,2.0
1.96,WireAreaLowkAgr,0.0365478,mode2,5,0.85,dsp,45358.020,2.0
2.17,WireAreaLowkAgr,0.0330415,mode1,5,0.90,dsp,41936.661,2.22
1.5,WireAreaLowkAgr,0.0517252,mode3,7,0.85,dsp,57436.848,1.53
1.51,WireAreaLowkAgr,0.0518918,mode3,8,0.85,dsp,57436.848,1.53
1.59,WireAreaLowkAgr,0.0505731,none,6,0.90,dsp,54244.242,1.53
2.0,WireAreaLowkAgr,0.0373043,none,5,0.90,dsp,45358.020,2.0
2.49,WireAreaLowkAgr,0.0296377,none,8,0.85,dsp,43101.540,2.5
2.47,WireAreaLowkAgr,0.0296868,none,7,0.85,dsp,43101.540,2.5
1.99,WireAreaLowkAgr,0.0370461,none,8,0.95,dsp,40583.547,2.0
1.99,WireAreaLowkAgr,0.0370532,none,7,0.95,dsp,40583.547,2.0
1.94,WireAreaLowkAgr,0.0369404,mode3,8,0.90,dsp,42837.885,2.0
2.45,WireAreaLowkAgr,0.0299703,mode1,5,0.90,dsp,40707.072,2.5
1.5,WireAreaLowkAgr,0.0524305,mode1,5,0.85,dsp,57436.848,1.53
2.46,WireAreaLowkAgr,0.029159,mode2,7,0.90,dsp,40707.072,2.5
2.0,WireAreaLowkAgr,0.0365472,mode0,5,0.90,dsp,45358.020,2.0
1.97,WireAreaLowkAgr,0.0369374,mode3,7,0.90,dsp,42837.885,2.0
2.17,WireAreaLowkAgr,0.0327108,mode3,8,0.90,dsp,41936.661,2.22
1.6,WireAreaLowkAgr,0.0503668,mode0,6,0.95,dsp,51389.991,1.53
2.48,WireAreaLowkAgr,0.0291368,mode2,8,0.90,dsp,40707.072,2.5
1.63,WireAreaLowkAgr,0.0470838,mode1,5,0.90,dsp,48331.764,1.66
1.54,WireAreaLowkAgr,0.0504489,mode2,6,0.90,dsp,54244.242,1.53
1.61,WireAreaLowkAgr,0.0503802,none,8,0.95,dsp,51389.991,1.53
1.6,WireAreaLowkAgr,0.0504482,none,7,0.95,dsp,51389.991,1.53
1.81,WireAreaLowkAgr,0.0412662,mode2,5,0.90,dsp,45627.003,1.81
1.52,WireAreaLowkAgr,0.0504615,mode2,5,0.90,dsp,54244.242,1.53
1.51,WireAreaLowkAgr,0.0523058,mode1,6,0.85,dsp,57436.848,1.53
2.43,WireAreaLowkAgr,0.0299144,mode1,6,0.90,dsp,40707.072,2.5
1.99,WireAreaLowkAgr,0.0364457,mode0,6,0.90,dsp,42837.885,2.0
1.6,WireAreaLowkAgr,0.0502463,mode0,5,0.95,dsp,51389.991,1.53
1.54,WireAreaLowkAgr,0.0502788,mode2,8,0.95,dsp,51389.991,1.53
1.56,WireAreaLowkAgr,0.0503458,mode2,7,0.95,dsp,51389.991,1.53
1.57,WireAreaLowkAgr,0.0504502,mode0,7,0.90,dsp,54244.242,1.53
1.98,WireAreaLowkAgr,0.0369409,mode3,6,0.95,dsp,40583.547,2.0
1.59,WireAreaLowkAgr,0.0505485,mode0,8,0.90,dsp,54244.242,1.53
2.49,WireAreaLowkAgr,0.029579,mode2,6,0.95,dsp,38565.072,2.5
